drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
6/1/2012,3,4,30,34,39,0,311,13.5
5/31/2012,1,7,11,12,24,225000,100,6
5/30/2012,6,7,16,29,40,0,299.5,13
5/29/2012,19,20,25,39,42,125000,289.5,16
5/28/2012,3,5,8,32,41,1284141,293,11
5/27/2012,2,3,24,28,34,0,281.5,11
5/26/2012,2,29,37,38,41,0,308.5,13.5
5/25/2012,5,13,15,28,40,0,262.5,11
5/24/2012,1,4,9,22,36,0,194,10
5/23/2012,10,15,16,18,37,0,325,12
5/22/2012,13,29,35,39,42,0,463.5,15
5/21/2012,11,26,31,33,43,225000,354,13
5/20/2012,5,15,19,26,40,0,251.5,11
5/19/2012,2,7,8,14,31,495241,165.5,9
5/18/2012,17,25,26,29,32,0,319,12
5/17/2012,8,14,23,27,35,0,245.5,10.5
5/16/2012,33,34,35,40,43,0,344.5,16
5/15/2012,13,17,21,25,41,325000,278.5,11.5
5/14/2012,9,17,26,32,41,0,263.5,14
5/13/2012,6,24,28,32,41,0,316,15
5/12/2012,3,24,30,31,33,225000,217,10.5
5/11/2012,3,7,17,39,43,0,281,10.5
5/10/2012,6,8,11,18,31,325000,184,8.5
5/9/2012,17,18,38,41,43,0,347.5,15.5
5/8/2012,18,27,28,32,33,0,306.5,13
5/7/2012,11,16,22,24,29,125000,191.5,9
5/6/2012,2,13,16,35,43,225000,349,14.5
5/5/2012,15,24,33,42,43,0,294.5,15.5
5/4/2012,3,6,20,32,40,754704,319,12.5
5/3/2012,1,12,14,18,21,0,187,9.5
5/2/2012,12,17,27,29,39,0,224,10
5/1/2012,22,24,28,29,35,0,309.5,13
4/30/2012,3,14,17,38,42,0,355.5,13.5
4/29/2012,19,20,21,24,26,225000,244.5,10.5
4/28/2012,6,31,33,37,40,0,531,16
4/27/2012,12,14,36,37,38,332674,320.5,13.5
4/26/2012,5,20,23,26,41,0,280.5,12
4/25/2012,18,19,22,27,36,0,279.5,12
4/24/2012,8,18,21,34,41,325000,315,13.5
4/23/2012,7,12,25,29,42,0,255.5,11
4/22/2012,2,10,12,19,34,0,159,8
4/21/2012,16,23,29,30,33,330214,307.5,11.5
4/20/2012,16,17,23,38,40,0,372.5,14.5
4/19/2012,1,3,19,36,42,0,328.5,13.5
4/18/2012,1,6,16,30,39,494187,247,11.5
4/17/2012,3,6,13,28,39,0,211,9.5
4/16/2012,3,6,13,36,42,0,329,12.5
4/15/2012,5,7,33,39,42,0,288,12.5
4/14/2012,8,11,14,23,42,125000,246.5,10
4/13/2012,6,16,19,22,35,125000,314,11.5
4/12/2012,3,19,32,33,41,529529,311,13
4/11/2012,10,14,15,30,43,0,307.5,12
4/10/2012,3,5,14,30,33,0,256,9.5
4/9/2012,3,5,23,37,43,0,313,11
4/8/2012,4,5,9,25,30,125000,153,7
4/7/2012,3,6,9,15,16,538650,155.5,8.5
4/6/2012,3,10,12,14,42,0,294,10.5
4/5/2012,6,14,34,35,37,0,367.5,14
4/4/2012,26,27,34,40,43,0,437.5,17
4/3/2012,8,10,26,29,33,495527,268.5,10.5
4/2/2012,3,7,18,20,26,0,174.5,9
4/1/2012,2,8,24,30,39,0,265,10.5
3/31/2012,2,8,11,18,41,0,217,10
3/30/2012,1,6,19,31,37,349654,325.5,12
3/29/2012,2,13,24,29,37,0,274,11.5
3/28/2012,1,4,11,14,36,0,192.5,9.5
3/27/2012,3,13,22,25,36,327947,232,11
3/26/2012,11,15,20,30,31,0,233,10
3/25/2012,6,15,32,34,38,0,303,16
3/24/2012,6,18,22,27,33,225000,251,11
3/23/2012,2,6,14,22,34,0,202,10.5
3/22/2012,7,11,17,23,37,493578,127.5,8
3/21/2012,7,9,12,16,27,0,161,7.5
3/20/2012,1,3,11,20,34,0,283.5,10
3/19/2012,1,21,23,27,43,0,350,12
3/18/2012,5,9,13,33,35,325000,242.5,9.5
3/17/2012,4,15,19,28,38,0,232,10.5
3/16/2012,11,15,16,19,23,0,213,8.5
3/15/2012,2,7,17,31,32,1115640,256.5,10.5
3/14/2012,3,4,12,13,41,0,266.5,11
3/13/2012,19,21,24,31,36,0,293,11.5
3/12/2012,11,17,22,36,38,0,278.5,12
3/11/2012,5,11,12,27,30,0,142,7
3/10/2012,4,15,20,27,30,0,236,9.5
3/9/2012,12,16,18,28,36,520998,243.5,11
3/8/2012,4,21,31,33,43,0,310.5,12.5
3/7/2012,4,7,13,32,34,0,318.5,11
3/6/2012,15,16,19,25,36,0,292.5,12.5
3/5/2012,5,9,23,40,43,125000,328,12
3/4/2012,1,4,16,17,31,125000,188.5,9.5
3/3/2012,14,18,29,38,39,341914,321,12.5
3/2/2012,11,26,29,32,39,0,316,13
3/1/2012,9,25,32,35,42,0,392.5,15
2/29/2012,2,8,11,18,29,225000,127,7.5
2/28/2012,3,10,34,39,40,0,478,15.5
2/27/2012,13,20,22,29,33,325000,244,11
2/26/2012,4,16,25,28,29,0,201.5,9.5
2/25/2012,14,18,21,23,41,0,264,13
2/24/2012,7,8,15,29,33,125000,289,10
2/23/2012,2,11,14,21,23,225000,173,8
2/22/2012,4,15,28,42,43,0,373.5,14.5
2/21/2012,12,25,28,38,41,500132,255,12.5
2/20/2012,3,8,16,26,34,0,224.5,10.5
2/19/2012,2,19,28,33,34,0,314.5,12
2/18/2012,4,21,28,36,42,0,364.5,14
2/17/2012,1,13,25,36,41,125000,251,14.5
2/16/2012,4,23,24,33,34,225000,272,12
2/15/2012,4,25,29,30,33,0,281,11.5
2/14/2012,24,29,31,32,33,225000,306.5,14
2/13/2012,1,5,14,19,23,0,143,7.5
2/12/2012,10,13,15,29,39,225000,208.5,10.5
2/11/2012,3,10,22,23,34,0,211.5,10
2/10/2012,8,15,20,22,37,347547,255.5,11.5
2/9/2012,9,11,16,24,36,0,241,10
2/8/2012,12,19,32,40,42,0,319.5,14
2/7/2012,15,20,27,35,36,513678,309,13
2/6/2012,7,11,23,25,27,0,135,7.5
2/5/2012,7,10,14,38,42,0,328.5,12.5
2/4/2012,10,17,19,23,34,0,204.5,9.5
2/3/2012,7,8,31,41,43,340631,319,14
2/2/2012,11,14,19,24,40,0,316,11
2/1/2012,6,9,21,33,43,0,192.5,11
1/31/2012,1,7,8,11,24,325001,129.5,7
1/30/2012,12,13,17,34,37,0,304.5,12
1/29/2012,16,26,33,41,43,0,444.5,18
1/28/2012,1,6,16,21,39,125000,176.5,11.5
1/27/2012,14,23,25,33,43,330000,289,12
1/26/2012,12,13,15,34,36,0,311,14
1/25/2012,4,6,12,13,23,0,149,7
1/24/2012,6,20,33,35,39,727647,299.5,13
1/23/2012,5,16,20,31,37,0,340.5,12
1/22/2012,2,20,24,33,40,0,330.5,14
1/21/2012,8,9,12,26,43,0,285,10
1/20/2012,5,9,38,41,43,0,346,15
1/19/2012,14,30,31,33,36,330695,241.5,13.5
1/18/2012,13,25,34,35,43,0,357.5,14
1/17/2012,3,23,39,40,41,0,424.5,16.5
1/16/2012,12,18,19,25,40,225000,238,12
1/15/2012,6,9,21,23,25,0,157,8
1/14/2012,4,9,13,16,29,778132,171,9.5
1/13/2012,3,6,9,15,42,0,179.5,10
1/12/2012,14,25,27,31,43,0,339.5,12.5
1/11/2012,4,24,26,32,40,0,325,13.5
1/10/2012,2,19,25,30,42,0,366,13
1/9/2012,4,12,19,21,36,501035,198.5,9.5
1/8/2012,1,9,20,24,35,0,275,11.5
1/7/2012,6,21,22,31,35,0,290.5,12.5
1/6/2012,2,9,13,14,36,0,224,11.5
1/5/2012,21,27,33,39,40,225000,336,14.5
1/4/2012,6,9,12,18,40,0,208,9.5
1/3/2012,18,20,27,30,35,125000,270.5,12
1/2/2012,6,7,22,29,33,330000,249.5,10
1/1/2012,12,15,36,40,41,0,377,16.5
12/31/2013,14,22,25,28,38,500000,322,12
12/30/2013,2,4,13,15,36,0,262,11.5
12/29/2013,2,13,24,29,39,0,211,11
12/28/2013,4,13,18,34,41,0,299.5,14
12/27/2013,9,16,17,25,37,325000,225,11
12/26/2013,17,19,22,38,41,0,358,13.5
12/25/2013,5,17,21,26,35,0,219,10
12/24/2013,5,7,8,10,25,325000,109,6.5
12/23/2013,9,17,25,32,42,0,287,13
12/22/2013,2,4,11,14,38,0,186.5,9.5
12/21/2013,1,11,33,35,37,225000,274,12.5
12/20/2013,13,14,23,31,42,0,312.5,13
12/19/2013,13,17,19,28,35,325000,222,10
12/18/2013,1,2,4,31,34,0,294,11
12/17/2013,2,12,13,34,41,0,363.5,13.5
12/16/2013,5,9,10,12,30,125000,107.5,5.5
12/15/2013,9,15,24,35,43,325000,348.5,13
12/14/2013,2,3,12,17,41,0,200,10
12/13/2013,2,10,22,35,43,0,299,12
12/12/2013,3,10,14,17,25,1000000,158.5,9
12/11/2013,16,29,35,36,40,0,416,14.5
12/10/2013,8,22,30,39,43,0,305.5,13.5
12/9/2013,1,3,5,12,28,0,92.5,6
12/8/2013,13,14,38,40,42,0,395.5,17
12/7/2013,1,11,23,28,33,0,220,9.5
12/6/2013,2,3,10,17,30,325000,198.5,8
12/5/2013,2,4,5,13,41,0,292.5,10
12/4/2013,18,24,25,27,34,0,301.5,11.5
12/3/2013,5,12,28,37,40,125000,351.5,12
12/2/2013,7,10,21,33,43,225000,207,10
12/1/2013,2,6,8,27,42,0,309,10
11/30/2013,4,18,28,35,42,325000,222.5,12.5
11/29/2013,23,26,27,37,43,0,421,15
11/28/2013,1,3,5,29,34,0,211,8
11/27/2013,7,18,25,26,34,225000,277.5,11
11/26/2013,1,5,6,9,40,0,176.5,8.5
11/25/2013,5,19,21,29,38,700001,252,10
11/24/2013,6,29,34,35,42,0,386,15
11/23/2013,1,7,18,25,36,0,263.5,10.5
11/22/2013,5,8,14,21,34,0,186.5,10
11/21/2013,8,26,27,28,37,0,337.5,12
11/20/2013,13,29,40,42,43,700000,340,14
11/19/2013,11,18,23,31,35,0,295,11
11/18/2013,2,3,4,19,21,0,179.5,7.5
11/17/2013,19,20,21,28,35,0,277.5,11.5
11/16/2013,9,17,18,23,33,0,271,9.5
11/15/2013,4,8,18,22,27,225000,136,8
11/14/2013,2,8,20,33,41,0,302.5,13
11/13/2013,8,10,11,23,24,500000,142,8
11/12/2013,7,10,21,34,43,0,312.5,11.5
11/11/2013,2,4,20,27,31,0,208,10.5
11/10/2013,7,31,33,37,43,0,297,14
11/9/2013,1,2,8,17,42,700000,257,10.5
11/8/2013,10,16,30,35,39,0,310,12.5
11/7/2013,3,7,25,28,41,0,294.5,10.5
