drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2014-05-30,4,8,12,30,36,100708,475,10
2014-05-31,8,12,13,21,26,0,345,9
2014-06-01,18,25,27,39,40,0,512,13
2014-06-02,5,8,13,26,39,0,468,10
2014-06-03,3,4,5,24,31,0,511,9
2014-06-04,3,4,10,22,27,0,437,9
2014-06-05,3,5,12,18,33,475920,427,9
2014-06-06,2,6,7,28,32,77205,546,10
2014-06-07,16,24,32,33,39,0,734,14
2014-06-08,4,15,18,35,38,0,647,13
2014-06-09,11,14,16,17,20,0,394,10
2014-06-10,2,4,22,23,28,224752,431,10
2014-06-11,5,19,28,30,34,0,532,11
2014-06-12,8,21,32,38,39,174485,684,13
2014-06-13,15,17,25,31,38,73513,668,13
2014-06-14,3,5,9,23,35,0,363,8
2014-06-15,3,9,22,25,27,0,404,9
2014-06-16,5,10,18,24,31,255038,451,9
2014-06-17,10,13,23,27,32,0,530,10
2014-06-18,8,21,24,29,39,0,596,12
2014-06-19,1,9,13,27,33,0,456,10
2014-06-20,5,15,24,34,40,411254,579,12
2014-06-21,1,14,17,29,36,0,552,12
2014-06-22,3,18,23,26,32,69192,769,11
2014-06-23,5,27,29,33,38,0,587,12
2014-06-24,2,10,31,37,39,0,644,13
2014-06-25,1,20,21,23,40,264489,631,12
2014-06-26,3,14,20,29,33,0,481,11
2014-06-27,3,13,17,18,28,0,360,8
2014-06-28,8,15,31,36,38,260961,626,13
2014-06-29,3,10,12,19,38,56068,571,9
2014-06-30,13,14,16,21,39,0,802,12
2014-07-01,5,8,20,25,34,0,580,10
2014-07-02,5,19,27,28,32,0,520,10
2014-07-03,2,18,20,23,32,404566,638,11
2014-07-04,12,16,19,25,35,0,635,11
2014-07-05,9,16,19,24,39,138418,476,11
2014-07-06,12,23,34,36,37,56325,597,13
2014-07-07,3,7,30,37,40,0,569,11
2014-07-08,6,9,22,34,38,0,488,11
2014-07-09,4,10,11,14,35,128934,425,10
2014-07-10,3,5,18,20,23,65076,265,8
2014-07-11,1,8,12,13,22,0,333,8
2014-07-12,11,26,30,34,35,0,818,13
2014-07-13,1,13,16,27,33,0,561,11
2014-07-14,2,10,28,30,31,369665,463,10
2014-07-15,4,5,10,15,30,0,362,8
2014-07-16,4,10,20,26,34,146486,462,11
2014-07-17,5,13,18,22,27,0,286,8
2014-07-18,8,11,19,20,39,158067,546,10
2014-07-19,10,14,15,17,37,0,575,11
2014-07-20,12,14,19,31,37,0,576,12
2014-07-21,5,12,16,26,29,0,402,9
2014-07-22,7,21,30,32,36,376103,578,12
2014-07-23,1,3,5,6,32,0,400,8
2014-07-24,1,17,18,25,29,0,560,10
2014-07-25,7,13,17,25,30,269721,429,9
2014-07-26,14,16,20,21,23,61188,546,11
2014-07-27,11,19,28,29,30,0,387,9
2014-07-28,7,13,18,28,34,0,417,10
2014-07-29,16,30,34,37,40,127175,659,13
2014-07-30,12,21,26,31,36,0,479,12
2014-07-31,26,27,29,30,32,0,592,13
2014-08-01,1,14,27,30,36,274911,551,12
2014-08-02,16,21,25,36,39,0,917,14
2014-08-03,1,8,9,24,35,0,546,10
2014-08-04,2,18,20,34,39,125570,671,13
2014-08-05,1,5,30,35,37,0,665,13
2014-08-06,16,21,22,32,39,0,747,13
2014-08-07,8,18,26,32,38,0,516,11
2014-08-08,6,7,15,27,36,408443,515,11
2014-08-09,2,11,18,20,39,60235,652,11
2014-08-10,1,3,15,18,34,55309,461,11
2014-08-11,6,14,22,26,40,0,823,12
2014-08-12,9,16,23,29,38,150617,533,11
2014-08-13,5,10,14,25,29,0,337,8
2014-08-14,11,14,15,17,31,148789,493,10
2014-08-15,21,23,28,30,39,0,609,13
2014-08-16,7,10,13,32,34,49289,624,11
2014-08-17,1,6,9,18,37,0,577,10
2014-08-18,12,17,31,34,35,0,648,12
2014-08-19,9,16,29,31,40,252982,527,12
2014-08-20,12,14,22,27,40,0,550,11
2014-08-21,1,3,9,34,40,0,536,11
2014-08-22,5,8,23,25,29,0,345,8
2014-08-23,1,3,24,33,34,203581,581,12
2014-08-24,5,6,20,24,26,0,406,9
2014-08-25,3,12,24,37,38,0,753,12
